systematic_name	standard_name	chrom	start	end
snR54	SNR54	chrXIII	163535	163620
snR55	SNR55	chrXII	794697	794794
snR56	SNR56	chrII	88190	88277
snR57	SNR57	chrXII	794937	795024
snR58	SNR58	chrXV	136088	136183
snR59	SNR59	chrXVI	173827	173904
snR6	SNR6	chrXII	366235	366346
snR60	SNR60	chrX	349130	349233
snR61	SNR61	chrXII	794486	794575
snR62	SNR62	chrXV	409765	409864
snR63	SNR63	chrIV	323217	323471
snR64	SNR64	chrXI	38811	38911
snR65	SNR65	chrIII	177183	177282
snR66	SNR66	chrXIV	586090	586175
snR67	SNR67	chrV	61352	61433
snR68	SNR68	chrIX	97111	97246
snR69	SNR69	chrXI	364776	364876
snR70	SNR70	chrXVI	718887	719050
snR71	SNR71	chrVIII	411228	411317
snR72	SNR72	chrXIII	298554	298651
snR73	SNR73	chrXIII	298307	298412
snR74	SNR74	chrXIII	298138	298225
snR75	SNR75	chrXIII	297918	298006
snR76	SNR76	chrXIII	297725	297833
snR77	SNR77	chrXIII	297506	297593
snR78	SNR78	chrXIII	297278	297364
snR79	SNR79	chrXII	348427	348510
snR7-L	SNR7-L	chrVII	939459	939672
snR7-S	SNR7-S	chrVII	939494	939672
snR8	SNR8	chrXV	832332	832521
snR80	SNR80	chrV	52150	52320
snR81	SNR81	chrXV	234346	234546
snR82	SNR82	chrVII	316788	317055
snR83	SNR83	chrXIII	626349	626654
snR84	SNR84	chrIV	1492477	1493026
snR85	SNR85	chrXIII	67768	67938
snR86	SNR86	chrXIII	762110	763113
snR87	SNR87	chrXI	431030	431138
snR9	SNR9	chrXV	407948	408134
SRG1	SRG1	chrV	322212	322762
tA(AGC)D		chrIV	410379	410451
tA(AGC)F		chrVI	204924	204996
tA(AGC)G		chrVII	774349	774421
tA(AGC)H		chrVIII	146242	146314
tA(AGC)J		chrX	197313	197385
tA(AGC)K1		chrXI	219895	219967
tA(AGC)K2		chrXI	517988	518060
tA(AGC)L		chrXII	656934	657006
tA(AGC)M1		chrXIII	321147	321219
tA(AGC)M2		chrXIII	768369	768441
tA(AGC)P		chrXVI	856902	856974
tA(UGC)A	TGA1	chrI	166267	166339
tA(UGC)E		chrV	312023	312095
tA(UGC)G		chrVII	794417	794489
tA(UGC)L		chrXII	214883	214955
tA(UGC)O		chrXV	854187	854259
tA(UGC)Q		chrmt	69846	69921
tC(GCA)B		chrII	643007	643078
tC(GCA)G		chrVII	707108	707179
tC(GCA)P1		chrXVI	435893	435964
tC(GCA)P2		chrXVI	775765	775836
tC(GCA)Q		chrmt	64415	64490
tD(GUC)B		chrII	405960	406031
tD(GUC)D		chrIV	568964	569035
tD(GUC)G1		chrVII	531610	531681
tD(GUC)G2		chrVII	544577	544648
tD(GUC)I1		chrIX	324303	324374
tD(GUC)I2		chrIX	336349	336420
tD(GUC)J1		chrX	204735	204806
tD(GUC)J2		chrX	355456	355527
tD(GUC)J3		chrX	374424	374495
tD(GUC)J4		chrX	541508	541579
tD(GUC)K		chrXI	513332	513403
tD(GUC)L1		chrXII	427132	427203
tD(GUC)L2		chrXII	793918	793989
tD(GUC)M		chrXIII	463554	463625
tD(GUC)N		chrXIV	519099	519169
tD(GUC)O		chrXV	571958	572029
tD(GUC)Q		chrmt	68322	68396
tE(CUC)D		chrIV	1017207	1017278
tE(CUC)I		chrIX	197592	197663
tE(UUC)B		chrII	645167	645238
tE(UUC)C		chrIII	82462	82533
tE(UUC)E1		chrV	177099	177170
tE(UUC)E2		chrV	354934	355005
tE(UUC)E3		chrV	487331	487402
tE(UUC)G1	SOE1	chrVII	328583	328654
tE(UUC)G2		chrVII	401527	401598
tE(UUC)G3		chrVII	541850	541921
tE(UUC)I		chrIX	370417	370488
tE(UUC)J		chrX	115939	116010
tE(UUC)K		chrXI	141018	141089
tE(UUC)L		chrXII	797178	797249
tE(UUC)M		chrXIII	290801	290872
tE(UUC)P		chrXVI	210192	210263
tE(UUC)Q		chrmt	35373	35444
tF(GAA)B		chrII	36398	36488
tF(GAA)D		chrIV	1095370	1095461
tF(GAA)F		chrVI	157916	158007
tF(GAA)G		chrVII	440716	440807
tF(GAA)H1		chrVIII	237848	237939
tF(GAA)H2		chrVIII	358478	358569
tF(GAA)M		chrXIII	352280	352370
tF(GAA)N		chrXIV	374869	374959
tF(GAA)P1		chrXVI	560198	560289
tF(GAA)P2		chrXVI	622540	622631
tF(GAA)Q		chrmt	77431	77505
tG(CCC)D	SUF3	chrIV	1257008	1257079
tG(CCC)O	SUF5	chrXV	594354	594425
tG(GCC)B		chrII	197629	197699
tG(GCC)C	SUF16	chrIII	142701	142771
tG(GCC)D1		chrIV	83548	83618
tG(GCC)D2		chrIV	992832	992902
tG(GCC)E		chrV	61890	61960
tG(GCC)F1	SUF20	chrVI	162228	162298
tG(GCC)F2		chrVI	180974	181044
tG(GCC)G1		chrVII	845649	845719
tG(GCC)G2		chrVII	930953	931023
tG(GCC)J1		chrX	396726	396796
tG(GCC)J2	SUF23	chrX	531828	531898
tG(GCC)M		chrXIII	183898	183968
tG(GCC)O1		chrXV	226611	226681
tG(GCC)O2	SUF17	chrXV	282164	282234
tG(GCC)P1		chrXVI	572269	572339
tG(GCC)P2		chrXVI	860379	860449
tG(UCC)G	SUF4	chrVII	779616	779687
tG(UCC)N	SUF6	chrXIV	96241	96312
tG(UCC)O	SUF1	chrXV	110962	111033
tG(UCC)Q		chrmt	67468	67542
tH(GUG)E1		chrV	207357	207428
tH(GUG)E2		chrV	434541	434612
tH(GUG)G1		chrVII	110625	110696
tH(GUG)G2		chrVII	319781	319852
tH(GUG)H		chrVIII	62755	62826
tH(GUG)K		chrXI	313401	313472
tH(GUG)M		chrXIII	363064	363135
tH(GUG)Q		chrmt	64596	64670
tI(AAU)B		chrII	197494	197567
tI(AAU)D		chrIV	668007	668080
tI(AAU)E1		chrV	443202	443275
tI(AAU)E2		chrV	551285	551358
tI(AAU)G		chrVII	739122	739195
tI(AAU)I1		chrIX	183440	183513
tI(AAU)I2		chrIX	210665	210738
tI(AAU)L1		chrXII	734802	734875
tI(AAU)L2		chrXII	1052071	1052144
tI(AAU)N1		chrXIV	569867	569940
tI(AAU)N2		chrXIV	602312	602385
tI(AAU)P1		chrXVI	819529	819602
tI(AAU)P2		chrXVI	880296	880369
tI(GAU)Q		chrmt	70162	70237
tI(UAU)D		chrIV	884361	884493
tI(UAU)L		chrXII	605300	605432
tK(CUU)C		chrIII	151284	151356
tK(CUU)D1		chrIV	1201750	1201822
tK(CUU)D2		chrIV	1352466	1352538
tK(CUU)E1		chrV	135425	135497
tK(CUU)E2		chrV	435752	435824
tK(CUU)F		chrVI	226688	226760
tK(CUU)G1		chrVII	122269	122341
tK(CUU)G2		chrVII	185714	185786
tK(CUU)G3		chrVII	876394	876466
tK(CUU)I		chrIX	300228	300300
tK(CUU)J		chrX	414966	415038
tK(CUU)K		chrXI	202999	203071
tK(CUU)M		chrXIII	480621	480693
tK(CUU)P		chrXVI	582062	582134
tK(UUU)D		chrIV	359577	359672
tK(UUU)G1		chrVII	115488	115583
tK(UUU)G2		chrVII	700953	701048
tK(UUU)K		chrXI	578965	579060
tK(UUU)L		chrXII	875376	875471
tK(UUU)O		chrXV	438643	438738
tK(UUU)P		chrXVI	769207	769302
tK(UUU)Q		chrmt	67061	67134
TLC1	TLC1	chrII	0	0
TLC1	TLC1	chrII	0	0
TLC1	TLC1	chrII	307587	308887
tL(CAA)A	SUP56	chrI	181141	181254
tL(CAA)C	SUP53	chrIII	90859	90972
tL(CAA)D		chrIV	1461715	1461829
tL(CAA)G1		chrVII	205521	205634
tL(CAA)G2	SUP54	chrVII	423092	423205
tL(CAA)G3		chrVII	857378	857491
tL(CAA)K		chrXI	458557	458670
tL(CAA)L		chrXII	628383	628497
tL(CAA)M		chrXIII	504895	505008
tL(CAA)N		chrXIV	443006	443119
tL(GAG)G		chrVII	700675	700756
tL(UAA)B1		chrII	9583	9666
tL(UAA)B2		chrII	347603	347686
tL(UAA)D		chrIV	519743	519826
tL(UAA)J	SUP51	chrX	424432	424515
tL(UAA)K		chrXI	84208	84291
tL(UAA)L		chrXII	962972	963055
tL(UAA)N		chrXIV	726134	726217
tL(UAA)Q		chrmt	66095	66179
tL(UAG)J		chrX	617919	618019
tL(UAG)L1		chrXII	592519	592619
tL(UAG)L2		chrXII	732090	732190
tM(CAU)C		chrIII	149920	149991
tM(CAU)D	EMT1	chrIV	1175829	1175901
tM(CAU)E	IMT4	chrV	100133	100204
tM(CAU)J1	EMT5	chrX	391043	391115
tM(CAU)J2	EMT3	chrX	422937	423009
tM(CAU)J3	IMT3	chrX	517813	517884
tM(CAU)M	EMT4	chrXIII	572883	572955
tM(CAU)O1	IMT1	chrXV	710201	710272
tM(CAU)O2	EMT2	chrXV	976421	976493
tM(CAU)P	IMT2	chrXVI	338848	338919
tM(CAU)Q1		chrmt	72630	72705
tM(CAU)Q2		chrmt	85035	85112
tN(GUU)C		chrIII	127716	127789
tN(GUU)F		chrVI	137486	137559
tN(GUU)G		chrVII	731137	731210
tN(GUU)K		chrXI	74624	74697
tN(GUU)L		chrXII	975983	976056
tN(GUU)N1		chrXIV	102716	102789
tN(GUU)N2		chrXIV	632599	632672
tN(GUU)O1		chrXV	228331	228404
tN(GUU)O2		chrXV	487439	487512
tN(GUU)P		chrXVI	810676	810749
tN(GUU)Q		chrmt	71433	71503
tP(AGG)C	SUF2	chrIII	123577	123648
tP(AGG)N	SUF10	chrXIV	631846	631917
tP(UGG)A	TRN1	chrI	139152	139254
tP(UGG)F	SUF9	chrVI	101376	101478
tP(UGG)H	SUF8	chrVIII	388893	388995
tP(UGG)L		chrXII	92548	92650
tP(UGG)M	SUF7	chrXIII	196068	196170
tP(UGG)N1		chrXIV	547094	547196
tP(UGG)N2		chrXIV	568115	568217
tP(UGG)O1		chrXV	301097	301198
tP(UGG)O2	SUF11	chrXV	464450	464551
tP(UGG)O3		chrXV	980683	980787
tP(UGG)Q		chrmt	731	802
tQ(CUG)M	CDC65	chrXIII	808246	808317
tQ(UUG)B		chrII	350827	350898
tQ(UUG)C		chrIII	168301	168372
tQ(UUG)D1		chrIV	520972	521043
tQ(UUG)D2		chrIV	645153	645224
tQ(UUG)D3		chrIV	802731	802802
tQ(UUG)E1		chrV	250286	250357
tQ(UUG)E2		chrV	131082	131153
tQ(UUG)H		chrVIII	134321	134392
tQ(UUG)L		chrXII	448650	448721
tQ(UUG)Q		chrmt	66210	66285
tR(ACG)D		chrIV	619969	620041
tR(ACG)E		chrV	492352	492424
tR(ACG)J		chrX	233939	234011
tR(ACG)K		chrXI	490968	491040
tR(ACG)L		chrXII	374355	374427
tR(ACG)O		chrXV	340299	340371
tR(ACG)Q2		chrmt	69289	69362
tR(CCG)L	TRR4	chrXII	818609	818680
tR(CCU)J	HSX1	chrX	538555	538626
tR(UCU)B		chrII	405878	405949
tR(UCU)D		chrIV	568882	568953
tR(UCU)E		chrV	138666	138737
tR(UCU)G1		chrVII	405470	405541
tR(UCU)G2		chrVII	828723	828794
tR(UCU)G3		chrVII	736340	736411
tR(UCU)J1		chrX	355374	355445
tR(UCU)J2		chrX	374506	374577
tR(UCU)K		chrXI	162487	162558
tR(UCU)M1		chrXIII	747892	747963
tR(UCU)M2		chrXIII	131825	131896
tR(UCU)Q1		chrmt	67309	67381
tS(AGA)A		chrI	182522	182603
tS(AGA)B		chrII	227075	227156
tS(AGA)D1		chrIV	437772	437853
tS(AGA)D2		chrIV	980974	981055
tS(AGA)D3		chrIV	1305630	1305712
tS(AGA)E		chrV	86604	86685
tS(AGA)G		chrVII	561662	561743
tS(AGA)H		chrVIII	133026	133107
tS(AGA)J		chrX	524012	524093
tS(AGA)L		chrXII	167944	168025
tS(AGA)M		chrXIII	259158	259239
tS(CGA)C	SUP61	chrIII	227942	228042
tS(GCU)F		chrVI	191513	191613
tS(GCU)O		chrXV	274673	274773
tS(GCU)Q1		chrmt	69203	69288
tS(UGA)E	SUP19	chrV	288443	288524
tS(UGA)I	SUP17	chrIX	248850	248931
tS(UGA)P	SUP16	chrXVI	689565	689646
tS(UGA)Q2		chrmt	48201	48290
tT(AGU)B		chrII	266378	266450
tT(AGU)C		chrIII	295484	295556
tT(AGU)D		chrIV	434264	434336
tT(AGU)H		chrVIII	116107	116179
tT(AGU)I1		chrIX	175031	175103
tT(AGU)I2		chrIX	325748	325820
tT(AGU)J		chrX	59100	59172
tT(AGU)N1		chrXIV	104805	104877
tT(AGU)N2		chrXIV	560693	560765
tT(AGU)O1		chrXV	113802	113874
tT(AGU)O2		chrXV	354041	354113
tT(CGU)K	TRT2	chrXI	46735	46806
tT(UAG)Q2		chrmt	78089	78162
tT(UGU)G1		chrVII	661749	661820
tT(UGU)G2		chrVII	1004216	1004287
tT(UGU)H		chrVIII	466990	467061
tT(UGU)P		chrXVI	744284	744355
tT(UGU)Q1		chrmt	63862	63937
tV(AAC)E1		chrV	438700	438773
tV(AAC)E2		chrV	469457	469530
tV(AAC)G1		chrVII	412294	412367
tV(AAC)G2		chrVII	823482	823555
tV(AAC)G3		chrVII	73829	73902
tV(AAC)H		chrVIII	85298	85371
tV(AAC)J		chrX	378360	378433
tV(AAC)K1		chrXI	308144	308217
tV(AAC)K2		chrXI	379680	379753
tV(AAC)L		chrXII	687859	687932
tV(AAC)M1		chrXIII	372445	372518
tV(AAC)M2		chrXIII	420588	420661
tV(AAC)M3		chrXIII	586636	586709
tV(AAC)O		chrXV	663812	663885
tV(CAC)D		chrIV	1075472	1075544
tV(CAC)H		chrVIII	475706	475778
tV(UAC)B		chrII	326792	326865
tV(UAC)D		chrIV	488797	488870
tV(UAC)Q		chrmt	78533	78608
tW(CCA)G1		chrVII	287350	287455
tW(CCA)G2		chrVII	878710	878815
tW(CCA)J		chrX	415931	416036
tW(CCA)K		chrXI	302918	303023
tW(CCA)M		chrXIII	379303	379408
tW(CCA)P		chrXVI	56169	56274
tW(UCA)Q		chrmt	9374	9447
tX(XXX)D		chrIV	1150842	1150941
tX(XXX)L		chrXII	784354	784453
tY(GUA)D	SUP2	chrIV	946312	946400
tY(GUA)F1	SUP11	chrVI	167437	167525
tY(GUA)F2	SUP6	chrVI	210619	210707
tY(GUA)J1	SUP7	chrX	354244	354332
tY(GUA)J2	SUP4	chrX	542956	543044
tY(GUA)M1	SUP5	chrXIII	168795	168883
tY(GUA)M2	SUP8	chrXIII	837928	838016
tY(GUA)O	SUP3	chrXV	288192	288280
tY(GUA)Q		chrmt	70824	70907
VDE	VDE	chrIV	127636	129000
YAL001C	TFC3	chrI	147594	151166
YAL002W	VPS8	chrI	143707	147531
YAL003W	EFB1	chrI	142174	143160
YAL004W		chrI	140760	141407
YAL005C	SSA1	chrI	139503	141431
YAL007C	ERP2	chrI	137698	138345
YAL008W	FUN14	chrI	136914	137510
YAL009W	SPO7	chrI	135854	136633
YAL010C	MDM10	chrI	134184	135665
YAL011W	SWC3	chrI	132199	134076
YAL012W	CYS3	chrI	130799	131983
YAL013W	DEP1	chrI	129270	130487
YAL014C	SYN8	chrI	128252	129019
YAL015C	NTG1	chrI	126903	128102
YAL016C-A		chrI	124755	125069
YAL016C-B		chrI	124307	124492
YAL016W	TPD3	chrI	124879	126786
YAL017W	PSK1	chrI	120225	124295
YAL018C	LDS1	chrI	118564	119541
YAL019W	FUN30	chrI	114919	118314
YAL019W-A		chrI	114250	114819
YAL020C	ATS1	chrI	113614	114615
YAL021C	CCR4	chrI	110846	113359
YAL022C	FUN26	chrI	108877	110430
YAL023C	PMT2	chrI	106272	108551
YAL024C	LTE1	chrI	101565	105872
YAL025C	MAK16	chrI	100225	101145
YAL026C	DRS2	chrI	95630	99697
YAL026C-A		chrI	95386	95823
YAL027W	SAW1	chrI	94687	95472
YAL028W	FRT2	chrI	92900	94486
YAL029C	MYO4	chrI	87855	92270
YAL030W	SNC1	chrI	87286	87752
YAL031C	GIP4	chrI	84749	87031
YAL031W-A		chrI	84669	84977
YAL032C	PRP45	chrI	83335	84474
YAL033W	POP5	chrI	82706	83227
YAL034C	FUN19	chrI	80710	81951
YAL034C-B		chrI	79489	79842
YAL034W-A	MTW1	chrI	79718	80587
YAL035W	FUN12	chrI	76427	79435
YAL036C	RBG1	chrI	75043	76152
YAL037C-A		chrI	73426	73518
YAL037C-B		chrI	72326	73300
YAL037W		chrI	74020	74823
YAL038W	CDC19	chrI	71786	73288
YAL039C	CYC3	chrI	68716	69525
YAL040C	CLN3	chrI	65778	67520
YAL041W	CDC24	chrI	62840	65404
YAL042C-A		chrI	61231	61608
YAL042W	ERV46	chrI	61316	62563
YAL043C	PTA1	chrI	58695	61052
YAL044C	GCV3	chrI	57950	58462
YAL044W-A	BOL1	chrI	57518	57850
YAL045C		chrI	57488	57796
YAL046C	BOL3	chrI	57029	57385
YAL047C	SPC72	chrI	54989	56857
YAL047W-A		chrI	54584	54913
YAL048C	GEM1	chrI	52801	54789
YAL049C	AIM2	chrI	51855	52595
YAL051W	OAF1	chrI	48564	51707
YAL053W	FLC2	chrI	45899	48250
YAL054C	ACS1	chrI	42881	45022
YAL055W	PEX22	chrI	42177	42719
YAL056C-A		chrI	38696	39046
YAL056W	GPB2	chrI	39259	41901
YAL058W	CNE1	chrI	37464	38972
YAL059C-A		chrI	36496	36918
YAL059W	ECM1	chrI	36509	37147
YAL060W	BDH1	chrI	35155	36303
YAL061W	BDH2	chrI	33448	34701
YAL062W	GDH3	chrI	31567	32940
YAL063C	FLO9	chrI	24000	27968
YAL063C-A		chrI	22395	22685
YAL064C-A	TDA8	chrI	13363	13743
YAL064W		chrI	21566	21850
YAL064W-B		chrI	12046	12426
YAL065C		chrI	11565	11951
YAL066W		chrI	10091	10399
YAL067C	SEO1	chrI	7235	9016
YAL067W-A		chrI	2480	2707
YAL068C	PAU8	chrI	1807	2169
YAL068W-A		chrI	538	792
YAL069W		chrI	335	649
YAR002C-A	ERP1	chrI	154065	154724
YAR002W	NUP60	chrI	152257	153876
YAR003W	SWD1	chrI	155005	156285
YAR007C	RFA1	chrI	156754	158619
YAR008W	SEN34	chrI	158966	159793
YAR009C		chrI	160597	164187
YAR010C		chrI	164544	165866
YAR014C	BUD14	chrI	166742	168871
YAR015W	ADE1	chrI	169375	170295
YAR018C	KIN3	chrI	170396	171703
YAR019C	CDC15	chrI	172211	175135
YAR019W-A		chrI	174998	175330
YAR020C	PAU7	chrI	176856	177023
YAR023C		chrI	179281	179820
YAR027W	UIP3	chrI	183770	184477
YAR028W		chrI	184892	185596
YAR029W		chrI	186321	186545
YAR030C		chrI	186512	186853
YAR031W	PRM9	chrI	186836	187732
YAR033W	MST28	chrI	188107	188811
YAR035C-A		chrI	192337	192417
YAR035W	YAT1	chrI	190193	192256
YAR042W	SWH1	chrI	192619	196185
YAR043C		chrI	192928	193248
YAR044W		chrI	193600	196179
YAR047C		chrI	201467	201787
YAR050W	FLO1	chrI	203403	208016
YAR052C		chrI	207122	207502
YAR053W		chrI	208367	208663
YAR060C		chrI	217157	217492
YAR061W		chrI	218140	219145
YAR062W		chrI	218549	219145
YAR064W		chrI	220198	220497
YAR066W		chrI	221049	221660
YAR068W		chrI	222406	222891
YAR069C		chrI	224011	224304
YAR070C		chrI	224563	224862
YAR071W	PHO11	chrI	225460	226863
YAR073W	IMD1	chrI	227742	228953
YAR074C		chrI	228529	228855
YAR075W		chrI	228844	229317
YBL001C	ECM15	chrII	237153	237467
YBL002W	HTB2	chrII	236492	236887
YBL003C	HTA2	chrII	235394	235792
YBL004W	UTP20	chrII	227636	235117
YBL005W	PDR3	chrII	217470	220400
YBL005W-A		chrII	221330	222652
YBL005W-B		chrII	221330	226598
YBL006C	LDB7	chrII	216587	217129
YBL006W-A		chrII	216711	216860
YBL007C	SLA1	chrII	212632	216366
YBL008W	HIR1	chrII	209653	212175
YBL008W-A		chrII	209409	209648
YBL009W	ALK2	chrII	207194	209224
YBL010C		chrII	206107	206949
YBL011W	SCT1	chrII	203538	205817
YBL012C		chrII	203406	203807
YBL013W	FMT1	chrII	202056	203261
YBL014C	RRN6	chrII	199064	201748
YBL015W	ACH1	chrII	194122	195702
YBL016W	FUS3	chrII	192451	193512
YBL017C	PEP1	chrII	186844	191583
YBL018C	POP8	chrII	185998	186474
YBL019W	APN2	chrII	184353	185915
YBL020W	RFT1	chrII	182401	184125
YBL021C	HAP3	chrII	181660	182094
YBL022C	PIM1	chrII	177874	181275
YBL023C	MCM2	chrII	174920	177526
YBL024W	NCL1	chrII	172534	174588
YBL025W	RRN10	chrII	171481	171918
YBL026W	LSM2	chrII	170623	171038
YBL027W	RPL19B	chrII	168423	169376
YBL028C		chrII	167518	167838
YBL029C-A		chrII	164488	164772
YBL029W		chrII	166134	167264
YBL030C	PET9	chrII	163041	163997
YBL031W	SHE1	chrII	161699	162715
YBL032W	HEK2	chrII	160184	161329
YBL033C	RIB1	chrII	158656	159693
YBL034C	STU1	chrII	153848	158389
YBL035C	POL12	chrII	151493	153610
YBL036C		chrII	150447	151220
YBL037W	APL3	chrII	147209	150286
YBL038W	MRPL16	chrII	146187	146885
YBL039C	URA7	chrII	143989	145728
YBL039C-A		chrII	144948	145031
YBL039W-B	MIN6	chrII	143393	143572
YBL040C	ERD2	chrII	142112	142868
YBL041W	PRE7	chrII	141247	141972
YBL042C	FUI1	chrII	138341	140260
YBL043W	ECM13	chrII	136688	137461
YBL044W		chrII	135998	136366
YBL045C	COR1	chrII	134143	135516
YBL046W	PSY4	chrII	132424	133749
YBL047C	EDE1	chrII	127895	132040
YBL048W	RRT1	chrII	127299	127610
YBL049W	MOH1	chrII	126828	127244
YBL050W	SEC17	chrII	125125	126119
YBL051C	PIN4	chrII	122753	124759
YBL052C	SAS3	chrII	119379	121874
YBL053W		chrII	119335	119709
YBL054W	TOD6	chrII	117589	119166
YBL055C		chrII	115573	116829
YBL056W	PTC3	chrII	113762	115168
YBL057C	PTH2	chrII	112801	113427
YBL058W	SHP1	chrII	111437	112708
YBL059C-A	CMC2	chrII	110125	110539
YBL059W	IAI11	chrII	110594	111244
YBL060W	YEL1	chrII	107932	109995
YBL061C	SKT5	chrII	105316	107406
YBL062W		chrII	105308	105688
YBL063W	KIP1	chrII	101886	105221
YBL064C	PRX1	chrII	100371	101156
YBL065W		chrII	99963	100307
YBL066C	SEF1	chrII	96669	100115
YBL067C	UBP13	chrII	93639	95882
YBL068W	PRS4	chrII	92414	93394
YBL068W-A		chrII	91794	92030
YBL069W	AST1	chrII	90741	92030
YBL070C		chrII	90605	90925
YBL071C		chrII	90223	90531
YBL071C-B		chrII	89458	89556
